real_name,x1,x2,x3
gen=92_member=4103_pso,-1.02089,-0.915873,-1.0713
gen=92_member=4111_pso,0.0337316,0.13994,-0.989859
gen=92_member=4180_pso,-0.132578,0.0558442,-0.725879
gen=92_member=4190_pso,-1.05205,-0.878223,-1.11111
gen=93_member=4213_pso,-1.06211,-0.650917,-1.08652
gen=93_member=4288_pso,-0.928736,-0.194995,-0.996267
gen=93_member=4299_pso,-0.0443055,0.0193474,-0.865334
gen=94_member=4302_pso,-1.07635,-0.590856,-1.0731
gen=94_member=4304_pso,0.0473653,0.0687407,-1.07717
gen=94_member=4353_pso,0.0267856,0.0422775,-1.04429
gen=95_member=4410_pso,-1.00434,-0.292276,-1.12057
gen=95_member=4427_pso,-1.01051,-0.280932,-1.00943
gen=95_member=4428_pso,0.0415036,0.0588973,0.0149508
gen=95_member=4460_pso,-1.09849,-1.06926,-0.975608
gen=95_member=4492_pso,0.0168007,0.0130887,-0.919404
gen=96_member=4548_pso,-0.11135,0.0168768,-0.846818
gen=96_member=4550_pso,-0.0438147,0.0459663,-0.650998
gen=96_member=4596_pso,-1.02445,-0.202624,-0.944798
gen=96_member=4598_pso,-0.939156,-0.082599,-0.934501
gen=97_member=4611_pso,-0.0327075,0.0316507,-0.671788
gen=97_member=4626_pso,-0.979427,-0.168449,-0.918965
gen=97_member=4627_pso,-1.08957,-0.809435,-1.03759
gen=97_member=4648_pso,-0.84469,0.0363211,-0.950944
gen=98_member=4701_pso,-0.0344311,-0.0101804,-0.671592
gen=98_member=4711_pso,-1.01913,-0.362239,-1.0893
gen=98_member=4723_pso,-0.859488,-0.152578,-0.996738
gen=98_member=4752_pso,-0.0837457,0.0126594,-0.797624
gen=98_member=4763_pso,-0.797849,-0.0304014,-0.877168
gen=98_member=4781_pso,0.000331712,-0.0207434,-0.929037
gen=98_member=4785_pso,-1.08181,-0.390827,-1.07563
gen=99_member=4804_pso,-1.09859,-0.453611,-1.074
gen=99_member=4847_pso,-0.0349768,0.0343892,-0.766079
gen=99_member=4876_pso,-1.02668,-0.956754,-1.12035
gen=99_member=4882_pso,-0.994539,-0.149187,-0.868787
