real_name,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1249,ar_xdist,ar_ydist,ar_rate,ar_screens,ar_conc
gen=13_member=1283_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,7.7444,1,0
gen=13_member=1284_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.11871,1,0
gen=13_member=1285_pso,0,0,-5,-5,-5,-5,-5,-5,1926,42.4199,7.79106,1,0
gen=13_member=1286_pso,0,0,-5,-5,-5,-5,-5,-5,1926,85,6.57103,1,0
gen=13_member=1287_pso,0,0,-5,-5,-5,-5,-5,-5,1926,85,8,1,0
gen=13_member=1288_pso,0,0,-5,-5,-5,-5,-5,-5,1926,62.8903,7.04872,1,0
gen=13_member=1289_pso,0,0,-5,-5,-5,-5,-5,-5,1926,55.4697,8,1,0
gen=13_member=1290_pso,0,0,-5,-5,-5,-5,-5,-5,1926,66.9346,8,1,0
gen=13_member=1291_pso,0,0,-5,-5,-5,-5,-5,-5,1926,48.5493,5.69377,1,0
gen=13_member=1292_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,7.10894,1,0
gen=13_member=1293_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.37951,1,0
gen=13_member=1294_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,7.62245,1,0
gen=13_member=1295_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40.2037,5.29413,1,0
gen=13_member=1296_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,5.63746,1,0
gen=13_member=1297_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,7.31823,1,0
gen=13_member=1298_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.3856,1,0
gen=13_member=1299_pso,0,0,-5,-5,-5,-5,-5,-5,1926,40,6.10411,1,0
