real_name,mean_conc,salinity,total_pump_rate,allow_ar,wetland_dd
gen=13_member=1253_pso,0.198047,0.198047,30,1,6.58534
gen=13_member=1254_pso,0.0862065,0.0862065,30,1,6.38115
gen=13_member=1255_pso,0.00377822,0.00377822,30,1,5.92051
gen=13_member=1256_pso,0.00265034,0.00265034,30,1,5.8789
gen=13_member=1257_pso,0.0754687,0.0754687,30,1,6.35614
gen=13_member=1258_pso,0.403978,0.403978,30,1,6.79661
gen=13_member=1259_pso,0.304286,0.304286,30,1,6.70763
gen=13_member=1260_pso,0.0883307,0.0883307,30,1,6.38625
gen=13_member=1261_pso,0.00219711,0.00219711,30,1,5.8617
gen=13_member=1262_pso,0.100974,0.100974,30,1,6.4187
gen=13_member=1263_pso,0.350862,0.350862,30,1,6.75666
gen=13_member=1264_pso,0.286829,0.286829,30,1,6.69132
gen=13_member=1265_pso,0.0550761,0.0550761,30,1,6.29513
gen=13_member=1266_pso,0.0758626,0.0758626,30,1,6.33332
gen=13_member=1268_pso,0.00193258,0.00193258,30,1,5.75496
gen=13_member=1269_pso,0.00715787,0.00715787,30,1,5.98226
gen=13_member=1270_pso,0.252194,0.252194,30,1,6.64819
gen=13_member=1271_pso,0.248064,0.248064,30,1,6.64691
gen=13_member=1272_pso,0.00864132,0.00864132,30,1,6.00566
gen=13_member=1273_pso,0.14666,0.14666,30,1,6.50788
gen=13_member=1274_pso,0.0682566,0.0682566,30,1,6.33272
gen=13_member=1275_pso,0.200785,0.200785,30,1,6.58601
gen=13_member=1276_pso,0.239047,0.239047,30,1,6.61843
gen=13_member=1277_pso,0.0815977,0.0815977,30,1,6.29662
gen=13_member=1278_pso,0.105853,0.105853,30,1,6.42191
gen=13_member=1279_pso,0.00520504,0.00520504,30,1,5.8496
gen=13_member=1280_pso,0.000723497,0.000723497,30,1,5.77753
gen=13_member=1281_pso,9.70908e-05,9.70908e-05,30,1,5.65712
gen=13_member=1282_pso,0.0640186,0.0640186,30,1,6.32541
gen=13_member=1283_pso,0.000500919,0.000500919,30,1,5.74948
gen=13_member=1284_pso,0.127877,0.127877,30,1,6.46997
gen=13_member=1285_pso,0.000387444,0.000387444,30,1,5.73254
gen=13_member=1286_pso,0.0821867,0.0821867,30,1,6.29797
gen=13_member=1287_pso,0.00052278,0.00052278,30,1,5.65984
gen=13_member=1288_pso,0.0220361,0.0220361,30,1,6.09984
gen=13_member=1289_pso,0.000109539,0.000109539,30,1,5.65684
gen=13_member=1290_pso,0.000487889,0.000487889,30,1,5.65891
gen=13_member=1291_pso,0.239421,0.239421,30,1,6.62657
gen=13_member=1292_pso,0.00855159,0.00855159,30,1,6.00309
gen=13_member=1293_pso,0.0807083,0.0807083,30,1,6.37174
gen=13_member=1294_pso,0.00093951,0.00093951,30,1,5.79664
gen=13_member=1295_pso,0.363184,0.363184,30,1,6.76445
gen=13_member=1296_pso,0.247384,0.247384,30,1,6.6453
gen=13_member=1297_pso,0.00365168,0.00365168,30,1,5.91725
gen=13_member=1298_pso,0.0791782,0.0791782,30,1,6.37
gen=13_member=1299_pso,0.131895,0.131895,30,1,6.48049
