generation,member,mean_conc,ar_rate,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
3,gen=2_member=111_pso,0.00742381,7.76629,2,0.0239292,5932.45,5932.45,1,-999
3,gen=2_member=176_pso,0.199543,7.65297,3,1e+30,2130.43,2130.43,1,-999
3,gen=2_member=149_pso,0.000645263,8,6,-999,7627.5,7627.5,1,-999
3,gen=2_member=134_pso,0.000898673,8,12,-999,7215.5,7215.5,1,-999
3,gen=2_member=125_pso,0.00179813,8,13,-999,7100.5,7100.5,1,-999
3,gen=2_member=124_pso,0.00319665,8,16,-999,6585.5,6585.5,1,-999
3,gen=2_member=129_pso,0.00698067,8,22,-999,5890.5,5890.5,1,-999
3,gen=0_member=99,0.00743965,8,23,-999,5806.5,5806.5,1,-999
3,gen=2_member=143_pso,0.010499,8,26,-999,5547.5,5547.5,1,-999
3,gen=2_member=119_pso,0.014299,8,27,-999,5185.5,5185.5,1,-999
3,gen=2_member=102_pso,0.0143769,8,29,-999,4998.5,4998.5,1,-999
3,gen=1_member=68_pso,0.0149534,8,30,-999,4903.5,4903.5,1,-999
3,gen=2_member=115_pso,0.0157081,8,32,-999,4710.5,4710.5,1,-999
3,gen=2_member=161_pso,0.0172397,8,33,-999,4611.5,4611.5,1,-999
3,gen=2_member=110_pso,0.0175709,8,34,-999,4510.5,4510.5,1,-999
3,gen=2_member=172_pso,0.020341,8,38,-999,4094.5,4094.5,1,-999
3,gen=2_member=109_pso,0.0314066,8,41,-999,3549.5,3549.5,1,-999
3,gen=2_member=130_pso,0.0380217,8,42,-999,3434.49,3434.49,1,-999
3,gen=1_member=89_pso,0.059659,8,43,-999,3201.49,3201.49,1,-999
3,gen=2_member=168_pso,0.0790459,8,44,-999,2964.49,2964.49,1,-999
3,gen=2_member=107_pso,0.0909485,8,45,-999,2844.48,2844.48,1,-999
3,gen=2_member=185_pso,0.107222,8,46,-999,2722.48,2722.48,1,-999
3,gen=2_member=192_pso,0.124977,8,47,-999,2598.48,2598.48,1,-999
3,gen=1_member=52_pso,0.138075,8,48,-999,2472.48,2472.48,1,-999
3,gen=2_member=104_pso,0.145433,8,50,-999,2217.47,2217.47,1,-999
4,gen=4_member=305_pso,0.0289364,7.09424,1,0.0520275,3247.44,3247.44,1,-999
4,gen=4_member=309_pso,0.00257663,7.66486,1,0.00384843,6398.44,6398.44,1,-999
4,gen=4_member=310_pso,0.00452216,7.52469,1,0.0161428,6073.45,6073.45,1,-999
4,gen=4_member=311_pso,0.0173692,7.18439,1,0.0858057,3994.43,3994.43,1,-999
4,gen=4_member=313_pso,0.00738792,7.38661,1,0.0511565,5313.44,5313.44,1,-999
4,gen=4_member=314_pso,0.0040458,7.96499,2,0.0293444,6069.49,6069.49,1,-999
4,gen=4_member=315_pso,0.136901,6.25618,1,0.138284,2099.4,2099.4,1,-999
4,gen=4_member=318_pso,0.000740784,7.93988,1,0.0025733,6783.49,6783.49,1,-999
4,gen=4_member=320_pso,0.000474741,8,1,1e+30,7010.5,7010.5,1,-999
4,gen=4_member=322_pso,0.000490579,8,2,1e+30,6998.5,6998.5,1,-999
4,gen=4_member=323_pso,0.0643371,6.70769,1,0.213395,2690.41,2690.41,1,-999
4,gen=4_member=324_pso,0.000541656,8,8,-999,6905.5,6905.5,1,-999
4,gen=4_member=327_pso,0.000820956,8,15,-999,6750.5,6750.5,1,-999
4,gen=4_member=330_pso,0.00112098,7.85459,1,0.0064775,6656.47,6656.47,1,-999
4,gen=4_member=331_pso,0.0530782,6.84881,1,0.0315001,2811.41,2811.41,1,-999
4,gen=4_member=334_pso,0.0025858,8,24,-999,6300.5,6300.5,1,-999
4,gen=4_member=335_pso,0.0304349,7.05394,1,0.0296372,3247.43,3247.43,1,-999
4,gen=4_member=336_pso,0.00259218,8,25,-999,6256.5,6256.5,1,-999
4,gen=4_member=338_pso,0.000525229,8,7,-999,6923.5,6923.5,1,-999
4,gen=4_member=340_pso,0.0459754,6.87644,1,0.0664947,3026.41,3026.41,1,-999
4,gen=4_member=341_pso,0.0374366,7.33345,3,0,3130.44,3130.44,1,-999
4,gen=4_member=343_pso,0.00049947,8,3,1e+30,6985.5,6985.5,1,-999
4,gen=4_member=345_pso,0.00635127,8,36,-999,5502.5,5502.5,1,-999
4,gen=4_member=346_pso,0.00069103,8,14,-999,6776.5,6776.5,1,-999
4,gen=4_member=347_pso,0.00626711,8,35,-999,5564.5,5564.5,1,-999
4,gen=4_member=350_pso,0.0376758,7.44269,4,0,3109.44,3109.44,1,-999
4,gen=4_member=351_pso,0.00247335,8,23,-999,6343.5,6343.5,1,-999
4,gen=4_member=354_pso,0.129416,6.49483,2,0.158722,2095.42,2095.42,1,-999
4,gen=4_member=355_pso,0.00656407,8,38,-999,5375.5,5375.5,1,-999
4,gen=4_member=359_pso,0.0484871,8,65,-999,2670.49,2670.49,1,-999
4,gen=4_member=362_pso,0.185985,8,75,-999,1337.47,1337.47,1,-999
4,gen=4_member=363_pso,0.0569892,7.31379,3,1e+30,2802.43,2802.43,1,-999
4,gen=4_member=364_pso,0.00329704,8,27,-999,6118.5,6118.5,1,-999
4,gen=4_member=366_pso,0.00824223,8,45,-999,4891.5,4891.5,1,-999
4,gen=4_member=368_pso,0.0538861,6.80258,1,0.0448329,2811.42,2811.42,1,-999
4,gen=4_member=370_pso,0.00581986,8,34,-999,5625.5,5625.5,1,-999
4,gen=4_member=373_pso,0.0067877,8,39,-999,5310.5,5310.5,1,-999
4,gen=4_member=374_pso,0.00480771,8,31,-999,5801.5,5801.5,1,-999
4,gen=4_member=379_pso,0.00050059,8,4,1e+30,6971.5,6971.5,1,-999
4,gen=4_member=384_pso,0.073692,8,67,-999,2444.49,2444.49,1,-999
4,gen=4_member=385_pso,0.00459728,8,30,-999,5912.5,5912.5,1,-999
4,gen=4_member=387_pso,0.0056782,8,33,-999,5685.5,5685.5,1,-999
4,gen=4_member=390_pso,0.129083,6.66782,2,0.721391,2095.41,2095.41,1,-999
4,gen=4_member=391_pso,0.107476,6.41443,1,0.265176,2230.41,2230.41,1,-999
4,gen=4_member=392_pso,0.00968117,8,46,-999,4816.5,4816.5,1,-999
4,gen=4_member=393_pso,0.010904,8,48,-999,4663.5,4663.5,1,-999
4,gen=4_member=398_pso,0.230676,7.87345,6,1e+30,1201.46,1201.46,1,-999
4,gen=4_member=399_pso,0.00052278,8,6,1e+30,6940.5,6940.5,1,-999
4,gen=3_member=234_pso,0.251606,5.9146,1,1e+30,1269.4,1269.4,1,-999
4,gen=3_member=284_pso,0.130931,6.28752,1,0.117167,2099.4,2099.4,1,-999
4,gen=3_member=253_pso,0.0363793,6.97884,1,0.0618821,3145.42,3145.42,1,-999
4,gen=3_member=230_pso,0.165659,6.19796,1,0.138618,1589.4,1589.4,1,-999
4,gen=3_member=246_pso,0.0175456,7.27488,2,0.775953,3993.43,3993.43,1,-999
4,gen=3_member=270_pso,0.00333395,7.60996,1,0.00774706,6203.44,6203.44,1,-999
4,gen=3_member=297_pso,0.00236749,7.69187,1,0.00579639,6518.44,6518.44,1,-999
4,gen=3_member=244_pso,0.171712,6.09904,1,0,1589.39,1589.39,1,-999
4,gen=3_member=203_pso,0.000507549,8,5,1e+30,6956.5,6956.5,1,-999
4,gen=2_member=153_pso,0.155566,6.29021,2,1e+30,1589.4,1589.4,1,-999
4,gen=3_member=263_pso,0.107533,7.36118,4,1e+30,2215.44,2215.44,1,-999
4,gen=3_member=280_pso,0.0087516,7.61772,2,0.0652699,4953.44,4953.44,1,-999
4,gen=3_member=243_pso,0.00504118,7.90808,2,0.021783,5744.48,5744.48,1,-999
4,gen=2_member=111_pso,0.00742381,7.76629,2,0.0239265,5212.45,5212.45,1,-999
4,gen=3_member=292_pso,0.153697,6.41068,2,0,1589.4,1589.4,1,-999
4,gen=2_member=176_pso,0.199543,7.65297,5,1e+30,1372.44,1372.44,1,-999
4,gen=3_member=259_pso,0.000556971,8,9,-999,6886.5,6886.5,1,-999
4,gen=3_member=217_pso,0.000578648,8,10,-999,6866.5,6866.5,1,-999
4,gen=2_member=149_pso,0.000645263,8,11,-999,6845.5,6845.5,1,-999
4,gen=3_member=233_pso,0.000662558,8,12,-999,6823.5,6823.5,1,-999
4,gen=3_member=220_pso,0.000667708,8,13,-999,6800.5,6800.5,1,-999
4,gen=3_member=278_pso,0.000862321,8,16,-999,6695.5,6695.5,1,-999
4,gen=3_member=261_pso,0.000870789,8,17,-999,6666.5,6666.5,1,-999
4,gen=3_member=249_pso,0.000895743,8,18,-999,6636.5,6636.5,1,-999
4,gen=2_member=134_pso,0.000898673,8,19,-999,6605.5,6605.5,1,-999
4,gen=2_member=125_pso,0.00179813,8,20,-999,6536.5,6536.5,1,-999
4,gen=3_member=247_pso,0.00194493,8,21,-999,6500.5,6500.5,1,-999
4,gen=3_member=288_pso,0.00237791,8,22,-999,6424.5,6424.5,1,-999
4,gen=2_member=124_pso,0.00319665,8,26,-999,6165.5,6165.5,1,-999
4,gen=3_member=202_pso,0.00359599,8,28,-999,6069.5,6069.5,1,-999
4,gen=3_member=237_pso,0.00451678,8,29,-999,5966.5,5966.5,1,-999
4,gen=3_member=293_pso,0.00483271,8,32,-999,5744.5,5744.5,1,-999
4,gen=3_member=224_pso,0.00652098,8,37,-999,5439.5,5439.5,1,-999
4,gen=3_member=257_pso,0.00689292,8,40,-999,5244.5,5244.5,1,-999
4,gen=2_member=129_pso,0.00698067,8,41,-999,5177.5,5177.5,1,-999
4,gen=0_member=99,0.00743965,8,42,-999,5107.5,5107.5,1,-999
4,gen=3_member=215_pso,0.00793079,8,43,-999,5036.5,5036.5,1,-999
4,gen=3_member=238_pso,0.00821533,8,44,-999,4964.5,4964.5,1,-999
4,gen=2_member=143_pso,0.010499,8,47,-999,4740.5,4740.5,1,-999
4,gen=2_member=119_pso,0.014299,8,49,-999,4345.5,4345.5,1,-999
4,gen=3_member=227_pso,0.0143137,8,50,-999,4263.5,4263.5,1,-999
4,gen=2_member=102_pso,0.0143769,8,51,-999,4180.5,4180.5,1,-999
4,gen=1_member=68_pso,0.0149534,8,52,-999,4096.5,4096.5,1,-999
4,gen=3_member=239_pso,0.0155659,8,53,-999,4011.5,4011.5,1,-999
4,gen=2_member=115_pso,0.0157081,8,54,-999,3925.5,3925.5,1,-999
4,gen=2_member=161_pso,0.0172397,8,55,-999,3838.5,3838.5,1,-999
4,gen=2_member=110_pso,0.0175709,8,56,-999,3748.5,3748.5,1,-999
4,gen=3_member=285_pso,0.0181522,8,57,-999,3657.5,3657.5,1,-999
4,gen=3_member=295_pso,0.0183244,8,58,-999,3565.5,3565.5,1,-999
4,gen=3_member=252_pso,0.0201876,8,59,-999,3472.5,3472.5,1,-999
4,gen=2_member=172_pso,0.020341,8,60,-999,3378.5,3378.5,1,-999
4,gen=3_member=219_pso,0.026625,8,61,-999,3283.5,3283.5,1,-999
4,gen=3_member=229_pso,0.0270126,8,62,-999,3187.5,3187.5,1,-999
4,gen=2_member=109_pso,0.0314066,8,63,-999,2990.5,2990.5,1,-999
4,gen=2_member=130_pso,0.0380217,8,64,-999,2885.49,2885.49,1,-999
4,gen=1_member=89_pso,0.059659,8,66,-999,2558.49,2558.49,1,-999
4,gen=2_member=168_pso,0.0790459,8,68,-999,2329.49,2329.49,1,-999
4,gen=2_member=107_pso,0.0909485,8,69,-999,2213.49,2213.49,1,-999
4,gen=2_member=185_pso,0.107222,8,70,-999,2096.48,2096.48,1,-999
4,gen=2_member=192_pso,0.124977,8,71,-999,1976.48,1976.48,1,-999
4,gen=1_member=52_pso,0.138075,8,72,-999,1851.48,1851.48,1,-999
4,gen=3_member=231_pso,0.140806,8,73,-999,1725.48,1725.48,1,-999
4,gen=2_member=104_pso,0.145433,8,74,-999,1598.48,1598.48,1,-999
5,gen=5_member=405_pso,0.174765,6.09213,1,0,151.431,151.431,1,-999
5,gen=5_member=406_pso,0.00266464,7.66632,3,0.0396669,3600.47,3600.47,1,-999
5,gen=5_member=407_pso,0.0643855,6.70095,1,0.00664717,193.45,193.45,1,-999
5,gen=5_member=409_pso,0.00820615,7.35966,1,0.0037261,2415.48,2415.48,1,-999
5,gen=5_member=411_pso,0.133044,6.2677,1,0.02377,166.46,166.46,1,-999
5,gen=5_member=412_pso,0.00052001,8,7,1e+30,3943.5,3943.5,1,-999
5,gen=5_member=414_pso,0.152694,6.17981,1,0.103818,166.447,166.447,1,-999
5,gen=5_member=415_pso,0.000488018,8,2,1e+30,3968.5,3968.5,1,-999
5,gen=5_member=417_pso,0.133232,6.27182,2,0,165.459,165.459,1,-999
5,gen=5_member=418_pso,0.0731863,6.63572,1,0.102911,203.45,203.45,1,-999
5,gen=5_member=419_pso,0.002564,7.66213,1,0.00130085,3718.47,3718.47,1,-999
5,gen=5_member=420_pso,0.00646839,7.4305,1,0.0108914,2928.47,2928.47,1,-999
5,gen=5_member=422_pso,0.000490579,8,3,1e+30,3965.5,3965.5,1,-999
5,gen=5_member=424_pso,0.14564,6.21489,1,0.0628874,165.454,165.454,1,-999
5,gen=5_member=425_pso,0.0122176,7.2337,1,0.00532594,2086.48,2086.48,1,-999
5,gen=5_member=428_pso,0.126791,6.43294,2,0.212394,163.451,163.451,1,-999
5,gen=5_member=429_pso,0.0424053,6.92033,1,0.0180231,388.461,388.461,1,-999
5,gen=5_member=430_pso,0.0239819,7.14822,1,0.029328,880.477,880.477,1,-999
5,gen=5_member=431_pso,0.00274308,7.65348,1,0.000932737,3558.47,3558.47,1,-999
5,gen=5_member=434_pso,0.125476,6.31249,1,0.0338631,174.458,174.458,1,-999
5,gen=5_member=435_pso,0.00260024,7.67368,3,0.0140194,3576.47,3576.47,1,-999
5,gen=5_member=436_pso,0.0275053,7.09081,1,0.0225404,663.473,663.473,1,-999
5,gen=5_member=437_pso,0.0547961,6.97764,3,0.636978,231.467,231.467,1,-999
5,gen=5_member=438_pso,0.00279824,7.64919,1,0.00235283,3627.47,3627.47,1,-999
5,gen=5_member=440_pso,0.0172044,7.18621,1,0.0155376,1531.48,1531.48,1,-999
5,gen=5_member=441_pso,0.0247343,7.13711,1,0.0031553,880.476,880.476,1,-999
5,gen=5_member=443_pso,0.00156612,7.79293,1,0.00496358,3800.47,3800.47,1,-999
5,gen=5_member=449_pso,0.0247743,7.13529,1,0.0110341,883.475,883.475,1,-999
5,gen=5_member=450_pso,0.000654928,8,15,-999,3851.5,3851.5,1,-999
5,gen=5_member=452_pso,0.000507549,8,6,1e+30,3950.5,3950.5,1,-999
5,gen=5_member=453_pso,0.0323251,7.02983,1,0.0236704,545.474,545.474,1,-999
5,gen=5_member=455_pso,0.00256505,8,28,-999,3527.5,3527.5,1,-999
5,gen=5_member=457_pso,0.00465274,7.51609,1,0.00774985,3278.47,3278.47,1,-999
5,gen=5_member=460_pso,0.0024164,7.68899,1,0.000782506,3723.47,3723.47,1,-999
5,gen=5_member=461_pso,0.0503191,6.8358,1,0.0315001,368.458,368.458,1,-999
5,gen=5_member=462_pso,0.0414492,6.93226,1,0.0216065,388.463,388.463,1,-999
5,gen=5_member=463_pso,0.0981505,6.64754,2,0.446284,201.448,201.448,1,-999
5,gen=5_member=464_pso,0.0303032,7.13613,3,0.211108,659.475,659.475,1,-999
5,gen=5_member=465_pso,0.0660064,6.69536,1,0.0283487,193.449,193.449,1,-999
5,gen=5_member=467_pso,0.00997817,7.29499,1,0.00910833,2224.48,2224.48,1,-999
5,gen=5_member=470_pso,0.0715048,6.64868,1,0.0285901,201.449,201.449,1,-999
5,gen=5_member=472_pso,0.0973489,6.56774,1,0.136542,203.447,203.447,1,-999
5,gen=5_member=473_pso,0.00495454,7.55688,2,0.0906272,3163.47,3163.47,1,-999
5,gen=5_member=474_pso,0.010611,7.28511,1,0.00554447,2142.48,2142.48,1,-999
5,gen=5_member=475_pso,0.00106537,7.86639,1,0.000913303,3800.47,3800.47,1,-999
5,gen=5_member=476_pso,0.0219047,7.6672,4,0.480674,671.47,671.47,1,-999
5,gen=5_member=478_pso,0.122427,6.33656,1,0.071676,174.463,174.463,1,-999
5,gen=5_member=479_pso,0.0369793,6.97206,1,0.0201885,559.468,559.468,1,-999
5,gen=5_member=480_pso,0.0220584,7.42692,3,0.138975,767.467,767.467,1,-999
5,gen=5_member=481_pso,0.0134672,7.20248,1,0.0198571,2086.48,2086.48,1,-999
5,gen=5_member=482_pso,0.000891618,7.90038,1,0.00129251,3767.48,3767.48,1,-999
5,gen=5_member=483_pso,0.0113706,7.26319,1,0.00604706,2086.48,2086.48,1,-999
5,gen=5_member=484_pso,0.0042684,8,36,-999,3169.5,3169.5,1,-999
5,gen=5_member=485_pso,0.0341965,7.07333,2,0.146163,543.473,543.473,1,-999
5,gen=5_member=487_pso,0.0515195,8,74,-999,0.491023,0.491023,1,-999
5,gen=5_member=488_pso,0.0121297,7.23911,1,0.00337303,2086.48,2086.48,1,-999
5,gen=5_member=489_pso,0.0629385,6.98203,4,1e+30,193.466,193.466,1,-999
5,gen=5_member=490_pso,0.00272265,8,31,-999,3408.5,3408.5,1,-999
5,gen=5_member=492_pso,0.0425538,7.28503,4,0,351.476,351.476,1,-999
5,gen=5_member=493_pso,0.000533662,8,10,-999,3916.5,3916.5,1,-999
5,gen=5_member=494_pso,0.0075033,8,51,-999,2224.5,2224.5,1,-999
5,gen=5_member=496_pso,0.00832366,7.35699,1,0.00705614,2262.48,2262.48,1,-999
5,gen=5_member=498_pso,0.00370513,8,35,-999,3220.5,3220.5,1,-999
5,gen=5_member=499_pso,0.00052278,8,8,1e+30,3935.5,3935.5,1,-999
5,gen=3_member=234_pso,0.251606,5.9146,1,1e+30,0.413668,0.413668,1,-999
5,gen=4_member=320_pso,0.000474741,8,1,1e+30,3970.5,3970.5,1,-999
5,gen=4_member=391_pso,0.107476,6.41443,1,0.0998608,208.45,208.45,1,-999
5,gen=4_member=323_pso,0.0643371,6.70769,1,0.0418086,193.45,193.45,1,-999
5,gen=3_member=230_pso,0.165659,6.19796,2,1e+30,151.45,151.45,1,-999
5,gen=4_member=315_pso,0.136901,6.25618,1,0.0501573,165.461,165.461,1,-999
5,gen=3_member=284_pso,0.130931,6.28752,1,0.0301333,165.456,165.456,1,-999
5,gen=4_member=311_pso,0.0173692,7.18439,1,0.0269879,1434.48,1434.48,1,-999
5,gen=4_member=340_pso,0.0459754,6.87644,1,0.0315124,367.459,367.459,1,-999
5,gen=3_member=253_pso,0.0363793,6.97884,1,0.0185327,552.466,552.466,1,-999
5,gen=4_member=305_pso,0.0289364,7.09424,2,0.10081,662.472,662.472,1,-999
5,gen=4_member=313_pso,0.00738792,7.38661,1,0.00691973,2606.47,2606.47,1,-999
5,gen=4_member=368_pso,0.0538861,6.80258,1,0.0558196,238.461,238.461,1,-999
5,gen=4_member=331_pso,0.0530782,6.84881,2,0.3872,238.458,238.458,1,-999
5,gen=4_member=335_pso,0.0304349,7.05394,1,0.0191923,661.471,661.471,1,-999
5,gen=4_member=310_pso,0.00452216,7.52469,1,0.00525139,3332.47,3332.47,1,-999
5,gen=3_member=270_pso,0.00333395,7.60996,1,0.00686463,3544.48,3544.48,1,-999
5,gen=4_member=330_pso,0.00112098,7.85459,1,0.00199396,3800.47,3800.47,1,-999
5,gen=3_member=297_pso,0.00236749,7.69187,1,0.00338578,3755.47,3755.47,1,-999
5,gen=4_member=309_pso,0.00257663,7.66486,2,0.0270419,3681.47,3681.47,1,-999
5,gen=4_member=318_pso,0.000740784,7.93988,1,0.00165999,3814.49,3814.49,1,-999
5,gen=3_member=244_pso,0.171712,6.09904,1,0.0878871,151.432,151.432,1,-999
5,gen=2_member=153_pso,0.155566,6.29021,3,1e+30,151.456,151.456,1,-999
5,gen=3_member=246_pso,0.0175456,7.27488,2,0.145195,1427.48,1427.48,1,-999
5,gen=4_member=390_pso,0.129083,6.66782,3,0.481182,151.447,151.447,1,-999
5,gen=4_member=354_pso,0.129416,6.49483,3,0.158722,151.452,151.452,1,-999
5,gen=3_member=280_pso,0.0087516,7.61772,3,0.12506,2172.48,2172.48,1,-999
5,gen=4_member=314_pso,0.0040458,7.96499,4,0.0727383,3220.49,3220.49,1,-999
5,gen=2_member=111_pso,0.00742381,7.76629,4,0.27008,2451.47,2451.47,1,-999
5,gen=3_member=243_pso,0.00504118,7.90808,4,0.0541009,2950.48,2950.48,1,-999
5,gen=3_member=292_pso,0.153697,6.41068,3,0,151.452,151.452,1,-999
5,gen=4_member=363_pso,0.0569892,7.31379,5,1e+30,193.474,193.474,1,-999
5,gen=4_member=343_pso,0.00049947,8,4,1e+30,3961.5,3961.5,1,-999
5,gen=4_member=341_pso,0.0374366,7.33345,4,0.330708,472.476,472.476,1,-999
5,gen=4_member=379_pso,0.00050059,8,5,1e+30,3956.5,3956.5,1,-999
5,gen=3_member=263_pso,0.107533,7.36118,6,1e+30,151.468,151.468,1,-999
5,gen=4_member=350_pso,0.0376758,7.44269,5,0,403.463,403.463,1,-999
5,gen=2_member=176_pso,0.199543,7.65297,7,1e+30,82.4499,82.4499,1,-999
5,gen=4_member=398_pso,0.230676,7.87345,8,1e+30,0.44555,0.44555,1,-999
5,gen=4_member=338_pso,0.000525229,8,9,-999,3926.5,3926.5,1,-999
5,gen=4_member=324_pso,0.000541656,8,11,-999,3905.5,3905.5,1,-999
5,gen=3_member=259_pso,0.000556971,8,12,-999,3893.5,3893.5,1,-999
